Phylum;Phylum_count;bact_defence_system;system_count;Number_of_phylum_containing_each_system;Total_number_of_different_system_per_prokaryotic_genomes;Frequency_of_each_system_in_a_given_phylum
Myxococcota;1;Viperin;0;0;0;0
Myxococcota;1;Wadjet;0;0;0;0
Myxococcota;1;Zorya;0;0;0;0
Myxococcota;1;dXTPase;0;0;0;0
Myxococcota;1;ietAS;0;0;0;0
Myxococcota;1;qatABCD;0;0;0;0
Nitrospinota;1;3HP;0;0;0;0
Nitrospinota;1;AVAST;0;0;0;0
Nitrospinota;1;Abi;0;0;0;0
Nitrospinota;1;Argonaute;0;0;0;0
Nitrospinota;1;BREX;0;0;0;0
Nitrospinota;1;CBASS;0;0;0;0
Nitrospinota;1;CRISPR-Cas;0;0;0;0
Nitrospinota;1;DISARM;0;0;0;0
Nitrospinota;1;DRT;0;0;0;0
Nitrospinota;1;DUF4238;0;0;0;0
Nitrospinota;1;DarTG;0;0;0;0
Nitrospinota;1;Dpd;0;0;0;0
Nitrospinota;1;DprA-PRTase;0;0;0;0
Nitrospinota;1;Druantia;0;0;0;0
Nitrospinota;1;Dsr;0;0;0;0
Nitrospinota;1;GAO;0;0;0;0
Nitrospinota;1;Gabija;0;0;0;0
Nitrospinota;1;Gasdermin;0;0;0;0
Nitrospinota;1;Hachiman;0;0;0;0
Nitrospinota;1;Helicase-DUF2290;0;0;0;0
Nitrospinota;1;Hhe;0;0;0;0
Nitrospinota;1;Hma;0;0;0;0
Nitrospinota;1;Hydrolase-TM;0;0;0;0
Nitrospinota;1;Kiwa;0;0;0;0
Nitrospinota;1;Lamassu;0;0;0;0
Nitrospinota;1;Mza;0;0;0;0
Nitrospinota;1;Nhi;0;0;0;0
Nitrospinota;1;PARIS;0;0;0;0
Nitrospinota;1;Paris_fused;0;0;0;0
Nitrospinota;1;Phosphorothioation;0;0;0;0
Nitrospinota;1;Ppl;0;0;0;0
Nitrospinota;1;Pycsar;0;0;0;0
Nitrospinota;1;RADAR;0;0;0;0
Nitrospinota;1;RM;0;0;0;0
Nitrospinota;1;Retron;0;0;0;0
Nitrospinota;1;Septu;0;0;0;0
Nitrospinota;1;Shedu;0;0;0;0
Nitrospinota;1;TIR-NLR;0;0;0;0
Nitrospinota;1;TerY-P;0;0;0;0
Nitrospinota;1;Thoeris;0;0;0;0
Nitrospinota;1;Tmn;0;0;0;0
Nitrospinota;1;Upx;0;0;0;0
Nitrospinota;1;Viperin;0;0;0;0
Nitrospinota;1;Wadjet;0;0;0;0
Nitrospinota;1;Zorya;0;0;0;0
Nitrospinota;1;dXTPase;1;1;1;1
Nitrospinota;1;ietAS;0;0;0;0
Nitrospinota;1;qatABCD;0;0;0;0
Planctomycetota;22;3HP;0;0;0;0
Planctomycetota;22;AVAST;0;0;0;0
Planctomycetota;22;Abi;1;11;11;0.5
Planctomycetota;22;Argonaute;1;4;4;0.181818182
Planctomycetota;22;BREX;1;2;2;0.090909091
Planctomycetota;22;CBASS;2;8;9;0.363636364
Planctomycetota;22;CRISPR-Cas;2;10;12;0.454545455
Planctomycetota;22;DISARM;1;1;1;0.045454545
Planctomycetota;22;DRT;2;9;11;0.409090909
Planctomycetota;22;DUF4238;0;0;0;0
Planctomycetota;22;DarTG;1;1;1;0.045454545
Planctomycetota;22;Dpd;0;0;0;0
Planctomycetota;22;DprA-PRTase;0;0;0;0
Planctomycetota;22;Druantia;1;2;2;0.090909091
Planctomycetota;22;Dsr;0;0;0;0
Planctomycetota;22;GAO;0;0;0;0
Planctomycetota;22;Gabija;1;3;3;0.136363636
Planctomycetota;22;Gasdermin;0;0;0;0
Planctomycetota;22;Hachiman;1;4;4;0.181818182
Planctomycetota;22;Helicase-DUF2290;0;0;0;0
Planctomycetota;22;Hhe;0;0;0;0
Planctomycetota;22;Hma;1;1;1;0.045454545
Planctomycetota;22;Hydrolase-TM;0;0;0;0
Planctomycetota;22;Kiwa;1;1;1;0.045454545
Planctomycetota;22;Lamassu;0;0;0;0
Planctomycetota;22;Mza;0;0;0;0
Planctomycetota;22;Nhi;0;0;0;0
Planctomycetota;22;PARIS;0;0;0;0
